============================================================
Advertisers Count by Country (Descending)
============================================================
Country                        Count   Percentage
BD                             2,005        0.05%
AL                             1,953        0.05%
BJ                             1,600        0.04%
TN                             1,579        0.04%
KW                             1,425        0.04%
UZ                             1,359        0.04%
JO                             1,358        0.04%
GP                             1,350        0.04%
AZ                             1,327        0.03%
QA                             1,293        0.03%
IQ                             1,257        0.03%
ME                             1,144        0.03%
GH                             1,115        0.03%
OM                             1,081        0.03%
AM                             1,049        0.03%
MQ                               993        0.03%
UG                               988        0.03%
TZ                               988        0.03%
LB                               984        0.03%
GI                               895        0.02%
MK                               884        0.02%
CM                               871        0.02%
KG                               758        0.02%
AD                               714        0.02%
PY                               709        0.02%
SV                               646        0.02%
JM                               641        0.02%
DZ                               583        0.02%
VE                               552        0.01%
BO                               517        0.01%
CD                               497        0.01%
NP                               493        0.01%
HN                               481        0.01%
BH                               476        0.01%
MZ                               448        0.01%
KH                               431        0.01%
AO                               402        0.01%
AN                               401        0.01%
BS                               398        0.01%
NI                               394        0.01%
LI                               365        0.01%
AW                               348        0.01%
CI                               342        0.01%
SN                               338        0.01%
MV                               327        0.01%
GF                               314        0.01%
ZW                               313        0.01%
MC                               299        0.01%
ZM                               294        0.01%
PF                               289        0.01%
SM                               287        0.01%
NA                               282        0.01%
KY                               281        0.01%
NC                               255        0.01%
VG                               218        0.01%
TJ                               217        0.01%
TT                               214        0.01%
ET                               208        0.01%
SC                               199        0.01%
MG                               192        0.01%
RW                               184        0.00%
BB                               180        0.00%
BW                               169        0.00%
BZ                               165        0.00%
TG                               154        0.00%
BM                               149        0.00%
MO                               148        0.00%
PS                               137        0.00%
YE                               127        0.00%
CG                               126        0.00%
YT                               123        0.00%
LC                               107        0.00%
MN                               102        0.00%
TD                                95        0.00%
TC                                82        0.00%
CV                                81        0.00%
VI                                77        0.00%
AF                                75        0.00%
FO                                74        0.00%
PG                                70        0.00%
AG                                70        0.00%
FJ                                63        0.00%
LA                                62        0.00%
HT                                60        0.00%
GY                                57        0.00%
GU                                49        0.00%
SR                                46        0.00%
DM                                44        0.00%
LY                                43        0.00%
DJ                                42        0.00%
MM                                39        0.00%
GA                                38        0.00%
BF                                37        0.00%
MH                                37        0.00%
GD                                37        0.00%
KN                                36        0.00%
VC                                33        0.00%
SO                                32        0.00%
GL                                30        0.00%
ML                                29        0.00%
TM                                25        0.00%
AI                                24        0.00%
GM                                24        0.00%
MW                                22        0.00%
BN                                21        0.00%
SZ                                20        0.00%
SL                                20        0.00%
BT                                20        0.00%
GN                                17        0.00%
BI                                16        0.00%
GQ                                15        0.00%
VU                                14        0.00%
CK                                12        0.00%
UM                                10        0.00%
LR                                10        0.00%
TF                                10        0.00%
MR                                10        0.00%
EH                                 8        0.00%
LS                                 8        0.00%
ST                                 8        0.00%
NE                                 8        0.00%
GW                                 7        0.00%
MP                                 6        0.00%
JE                                 5        0.00%
WS                                 5        0.00%
TL                                 5        0.00%
FK                                 5        0.00%
SJ                                 5        0.00%
GG                                 5        0.00%
MF                                 4        0.00%
KM                                 4        0.00%
BL                                 3        0.00%
SB                                 3        0.00%
PM                                 3        0.00%
NU                                 3        0.00%
FM                                 3        0.00%
TK                                 3        0.00%
TO                                 3        0.00%
AS                                 3        0.00%
CC                                 2        0.00%
CF                                 2        0.00%
NF                                 1        0.00%
XK                                 1        0.00%
AQ                                 1        0.00%
ER                                 1        0.00%
CW                                 1        0.00%
BQ                                 1        0.00%
PW                                 1        0.00%
SX                                 1        0.00%
WF                                 1        0.00%
------------------------------------------------------------
TOTAL                      3,801,888      100.00%
============================================================

Note: 2,693 advertisers have NULL country
